V616 Mon, 22000000000000000000000000000000, 6, 15
GU Muscae, 13900000000000000000000000000000, 8, 17
XTE J1118+480, 12000000000000000000000000000000, 10, 19
Cygnus X-1, 30000000000000000000000000000000, 12, 21
LB-1, 136000000000000000000000000000000, 14, 23
V404 Cygni, 18000000000000000000000000000000, 16, 25
GRO J0422+32, 7940000000000000000000000000000, 18, 27
GS 2000+25, 15000000000000000000000000000000, 20, 29
Cygnus X-3, 30000000000000000000000000000000, 20, 12
GRO J1655-40, 10760000000000000000000000000000, 15, 23
4U 1543-475, 22800000000000000000000000000000, 5, 26
